Time (ms)	Vapor Fraction
187.3333333	0.530592773
187.6666667	0.532130859
188	0.53531543
188.3333333	0.533765625
188.6666667	0.53865625
189	0.544297852
189.3333333	0.539720703
189.6666667	0.541359375
190	0.540012695
190.3333333	0.542345703
190.6666667	0.543910156
191	0.546107422
191.3333333	0.548363281
191.6666667	0.550339844
192	0.550376953
192.3333333	0.550852539
192.6666667	0.549463867
193	0.551646484
193.3333333	0.551275391
193.6666667	0.554832031
194	0.556579102
194.3333333	0.554736328
194.6666667	0.55544043
195	0.556200195
195.3333333	0.555544922
195.6666667	0.553830078
196	0.555871094
196.3333333	0.555810547
196.6666667	0.549956055
197	0.551154297
197.3333333	0.548537109
197.6666667	0.548692383
198	0.54603418
198.3333333	0.543904297
198.6666667	0.54212207
199	0.545511719
199.3333333	0.539259766
199.6666667	0.537527344
200	0.537036133
200.3333333	0.535733398
200.6666667	0.533509766
201	0.530638672
201.3333333	0.53237207
201.6666667	0.527901367
202	0.527112305
202.3333333	0.519310547
202.6666667	0.519444336
203	0.518803711
203.3333333	0.515365234
203.6666667	0.516634766
204	0.513936523
204.3333333	0.516764648
204.6666667	0.514104492
205	0.512748047
205.3333333	0.510233398
205.6666667	0.509607422
206	0.508506836
206.3333333	0.508810547
206.6666667	0.506448242
207	0.508591797
207.3333333	0.506493164
207.6666667	0.506512695
208	0.50455957
208.3333333	0.504722656
208.6666667	0.504606445
209	0.505633789
209.3333333	0.505701172
209.6666667	0.503430664
210	0.505329102
210.3333333	0.503991211
210.6666667	0.501032227
211	0.496789063
211.3333333	0.496101563
211.6666667	0.494799805
212	0.494898438
212.3333333	0.494286133
212.6666667	0.496801758
213	0.490913086
213.3333333	0.491508789
213.6666667	0.492311523
214	0.486889648
214.3333333	0.484542969
214.6666667	0.492486328
215	0.486883789
215.3333333	0.485673828
215.6666667	0.481621094
216	0.482586914
216.3333333	0.475666016
216.6666667	0.483047852
217	0.483637695
217.3333333	0.47646582
217.6666667	0.477066406
218	0.470316406
